Y_1944,Y_1945,Y_1946,Y_1947,Y_1948,Y_1949,Y_1950,Y_1951,Y_1952,Y_1953,Y_1954,Y_1955,Y_1956,Y_1957,Y_1958,Y_1959,Y_1960,Y_1961,Y_1962,Y_1963,Y_1964
"""Russian Rhapsody""","""Tale of Two Mice""","""Kitty Kornered""","""Inki at the Circus""","""Hop, Look and Listen""","""High Diving Hare""","""The Leghorn Blows at Midnight""","""A Hound for Trouble""","""Little Red Rodent Hood""","""Southern Fried Rabbit""","""Jumpin' Jupiter""","""Ready.. Set.. Zoom!""","""Gee Whiz-z-z-z-z-z-z""","""Piker's Peak""","""To Itch His Own""","""Really Scent""","""Mouse and Garden""","""The Rebel Without Claws""","""Honey's Money""","""The Unmentionables""","""Señorella and the Glass Huarache"""
"""Duck Soup to Nuts""","""Wagon Heels"" *","""Hollywood Daffy""","""Easter Yeggs""","""Nothing but the Tooth""","""The Bee-Deviled Bruin""","""His Bitter Half""","""Early to Bet""","""Sock a Doodle Do""","""Ant Pasted""","""No Parking Hare""","""Hare Brush""","""Tree Cornered Tweety""","""Steal Wool""","""Dog Tales","""Mexicali Shmoes""","""Ready, Woolen and Able""","""Compressed Hare""","""The Jet Cage""","""Aqua Duck""","""Pancho's Hideaway"""
"""Angel Puss""","""Hare Conditioned""","""Acrobatty Bunny""","""Crowing Pains""","""Buccaneer Bunny""","""Curtain Razor""","""An Egg Scramble""","""Rabbit Fire""","""Beep, Beep""","""Much Ado About Nutting""","""Dr. Jerkyl's Hide""","""Past Perfumance""","""The Unexpected Pest""","""Boston Quackie""","""Weasel While You Work""","""Tweet and Lovely""","""Mice Follies""","""The Pied Piper of Guadalupe""","""Mother Was a Rooster""","""Mad as a Mars Hare""","""Road to Andalay"""
"""Slightly Daffy"" **","""Fresh Airedale""","""The Eager Beaver""","""A Pest in the House""","""Bone Sweet Bone""","""Bowery Bugs""","""What's Up Doc?""","""Room and Bird""","""The Hasty Hare""","""There Auto Be a Law""","""Claws for Alarm""","""Tweety's Circus""","""Napoleon Bunny-Part""","""What's Opera, Doc?""","""Knighty Knight Bugs""","""Wild and Woolly Hare""","""From Hare to Heir""","""Prince Violent""","""Good Noose""","""Claws in the Lease""",
"""Hare Ribbin'""","""The Bashful Buzzard""","""The Great Piggy Bank Robbery""","""The Foxy Duckling""","""Bugs Bunny Rides Again""","""Mouse Mazurka""","""All a Bir-r-r-d""","""Chow Hound""","""Ain't She Tweet""","""Hare Trimmed""","""Little Boy Boo""","""Rabbit Rampage""","""Tugboat Granny""","""Tabasco Road""","""A Bird in a Bonnet""","""Cat's Paw""","""The Dixie Fryer""","""Daffy's Inn Trouble""","""Shishkabugs""","""Transylvania 6-5000""",
"""Brother Brat""","""Peck Up Your Troubles""","""Bacall to Arms""","""House Hunting Mice""","""The Rattled Rooster""","""Long-Haired Hare""","""8 Ball Bunny""","""French Rarebit""","""The Turn-Tale Wolf""","""Tom Tom Tomcat""","""Devil May Hare""","""Lumber Jerks""","""Stupor Duck""","""Birds Anonymous""","""Hook, Line and Stinker""","""Here Today, Gone Tamale""","""Hopalong Casualty""","""What's My Lion?""","""Martian Through Georgia""","""To Beep or Not to Beep""",
"""Hare Force""","""Hare Tonic""","""Of Thee I Sting""","""Little Orphan Airedale""","""The Up-Standing Sitter""","""Henhouse Henery""","""It's Hummer Time""","""The Wearing of the Grin""","""Cracked Quack""","""Wild over You""","""Muzzle Tough""","""This Is a Life?""","""Barbary-Coast Bunny""","""Ducking the Devil""","""Pre-Hysterical Hare""","""Bonanza Bunny""","""Trip for Tat""","""Beep Prepared""",,,
"""From Hand to Mouse""","""Nasty Quacks""","""Walky Talky Hawky""","""Doggone Cats""","""The Shell Shocked Egg""","""Knights Must Fall""","""Golden Yeggs""","""Leghorn Swoggled""","""Oily Hare""","""Duck Dodgers in the 24½th Century""","""The Oily American""","""Double or Mutton""","""Rocket-bye Baby""","""Bugsy and Mugsy""","""Gopher Broke""","""A Broken Leghorn""","""Dog Gone People""","""The Last Hungry Cat""",,,
"""Birdy and the Beast""",,"""Racketeer Rabbit""","""Slick Hare""","""Haredevil Hare"" **","""Bad Ol' Putty Tat""","""Hillbilly Hare""","""His Hare Raising Tale""","""Hoppy Go Lucky""","""Bully for Bugs""","""Bewitched Bunny""","""Jumpin' Jupiter""","""Half-Fare Hare""","""Zoom and Bored""","""Hip Hip- Hurry!""","""Wild About Hurry""","""High Note""","""Nelly's Folly""",,,
"""Buckaroo Bugs"" ***",,"""Fair and Worm-er""","""Mexican Joyride""","""You Were Never Duckier"" ***","""The Grey Hounded Hare""","""Dog Gone South""","""Cheese Chasers""","""Going! Going! Gosh!""","""Plop Goes the Weasel!""","""Satan's Waitin'""","""A Kiddies Kitty""","""Raw! Raw! Rooster!""","""Greedy for Tweety""","""Cat Feud""","""A Witch's Tangled Hare""","""Lighter Than Hare""",,,,
"""Goldilocks and the Jivin' Bears""",,"""The Big Snooze""","""Catch as Cats Can""","""Dough Ray Me-ow""","""Often an Orphan""","""The Ducksters""","""Lovelorn Leghorn""","""A Bird in a Guilty Cage""","""Cat-Tails for Two""","""Stop! Look! And Hasten!""","""Hyde and Hare""","""The Slap-Hoppy Mouse""","""Touché and Go""",,"""Unnatural History""",,,,,
"""Plane Daffy""",,"""The Mouse-Merized Cat""","""A Horse Fly Fleas""","""Hot Cross Bunny""","""The Windblown Hare""","""A Fractured Leghorn""","""Tweety's S.O.S.""","""Mouse-Warming""","""A Street Cat Named Sylvester""","""Yankee Doodle Bugs""","""Dime to Retire""","""A Star Is Bored""","""Show Biz Bugs""",,"""Tweet Dreams""",,,,,
"""Lost and Foundling""",,"""Mouse Menace""",,"""The Pest That Came to Dinner""","""Dough for the Do-Do"" *","""Bunker Hill Bunny""","""Ballot Box Bunny""","""Rabbit Seasoning""","""Zipping Along""","""Gone Batty""","""Speedy Gonzales""","""Deduce, You Say""","""Mouse-Taken Identity""",,"""People Are Bunny""",,,,,
"""Booby Hatched""",,"""Rhapsody Rabbit""",,"""Hare Splitter""","""Fast and Furry-ous""","""Canary Row""","""A Bear for Punishment""","""The EGGcited Rooster""","""Duck! Rabbit, Duck!""","""Goo Goo Goliath""","""Knight-Mare Hare""","""Yankee Dood It""","""Gonzales' Tamales""",,,,,,,
"""The Old Grey Hare""",,"""Roughly Squeaking""",,"""Odor of the Day""","""Each Dawn I Crow""","""Stooge for a Mouse""","""Sleepy Time Possum""","""Tree for Two""","""Easy Peckin's""","""By Word of Mouse""","""Two Scent's Worth""","""Wideo Wabbit""","""Rabbit Romeo""",,,,,,,
"""The Stupid Cupid""",,,,"""The Foghorn Leghorn""","""Frigid Hare""","""Pop 'Im Pop!""","""Drip-Along Daffy""","""Kit for Cat""","""Catty Cornered""","""From A to Z-Z-Z-Z""","""Red Riding Hoodwinked""","""There They Go-Go-Go!""",,,,,,,,
"""Stage Door Cartoon""",,,,"""A-Lad-In His Lamp""","""Swallow the Leader""","""Bushy Hare""","""Big Top Bunny""","""The Super Snooper""","""Of Rice and Hen""","""Quack Shot""","""Roman Legion-Hare""","""Two Crows from Tacos""",,,,,,,,
,,,,"""Daffy Dilly""","""Bye, Bye Bluebeard""","""Caveman Inki""","""Tweet Tweet Tweety""","""Rabbit's Kin""","""Cats A-weigh!""","""Lumber Jack-Rabbit""","""Heir-Conditioned""","""The Honey-Mousers""",,,,,,,,
,,,,"""The Stupor Salesman""","""For Scent-imental Reasons""","""Dog Collared""","""The Prize Pest""","""Terrier-Stricken""","""Robot Rabbit""","""My Little Duckaroo""","""Guided Muscle""","""To Hare Is Human""",,,,,,,,
,,,,"""Riff Raffy Daffy""","""Hippety Hopper""","""Rabbit of Seville""",,"""Fool Coverage""","""Punch Trunk""","""Sheep Ahoy""","""Pappy's Puppy""",,,,,,,,,
,,,,"""My Bunny Lies over the Sea""","""Which Is Witch""","""Two's a Crowd""",,"""Hare Lift""",,"""Baby Buggy Bunny""","""One Froggy Evening""",,,,,,,,,
,,,,"""Scaredy Cat""","""Bear Feat""",,,,,,,,,,,,,,,
,,,,,"""Rabbit Hood""",,,,,,,,,,,,,,,
,,,,,"""A Ham in a Role""",,,,,,,,,,,,,,,
